Time,1_Plant1,1_Plant2,1_Plant3,2_Plant1,2_Plant2,2_Plant3,3_Plant1,3_Plant2,3_Plant3,4_Plant1,4_Plant2,4_Plant3,5_Plant1,5_Plant2,5_Plant3,6_Plant1,6_Plant2,6_Plant3,7_Plant1,7_Plant2,7_Plant3
2752,454.1,0.0,0.0,0.0,0.0,0.0,168.60000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,6.900938367411484,0.0
2753,454.1,41.962684276947684,0.0,115.60000000000001,2.25,17.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
2754,478.0,91.96268427694768,0.0,231.20000000000002,4.5,34.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,53.53271380846377,0.0
2755,478.0,41.962684276947684,0.0,229.1108310220001,6.75,51.0,207.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,50.0,46.62315758846377,0.0
2756,477.99999999999983,33.98110894694772,0.0,344.71083102200015,9.0,68.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,75.0,25.015096608463764,0.0
2757,477.99999999999983,50.0,0.0,349.0979057289481,11.25,51.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,66.15461056846372,35.15267560000004,0.0
2758,478.0,100.0,0.0,333.4655248789478,9.0,34.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,41.154610568463724,63.86767409000004,0.0
2759,478.0,50.0,0.0,217.86552487894778,6.75,17.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,16.154610568463724,0.0,0.0
2760,478.0,0.0,0.0,102.26552487894777,4.5,0.0,197.68583205894774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,8.901169079516023,0.0,0.0
2761,478.0,0.0,0.0,53.578229300000004,2.25,17.0,178.48583205894778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,4.236716658463759,0.0,0.0
2762,454.1,0.0,0.0,0.0,0.0,0.0,159.28583205894782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
2763,478.0,50.0,0.0,115.60000000000001,2.25,17.0,178.48583205894778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,4.236716658463759,0.0,0.0
2764,478.0,0.0,0.0,128.29307930000004,4.5,34.0,197.68583205894774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,4.236716658463759,0.0,0.0
2765,454.1,25.61557252999978,0.0,219.0658151889478,2.25,51.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,35.31943165846377,0.0
2766,478.0,75.61557252999978,0.0,334.6658151889478,4.5,68.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,107.31943165846377,0.0
2767,478.0,25.61557252999978,0.0,219.0658151889478,2.25,51.0,207.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,50.0,53.86744672846384,0.0
2768,478.0,0.0,0.0,103.46581518894777,0.0,34.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,75.0,56.511839458463754,0.0
2769,478.0,0.0,0.0,15.743783888947803,2.25,51.0,207.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,70.65402753846377,45.997817819999995,0.0
2770,478.0,0.0,0.0,55.143418028947735,2.25,34.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,95.65402753846377,0.0,0.0
2771,478.0,0.0,0.0,130.18663388494775,0.0,17.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,75.0,6.763163468463759,0.0
2772,478.0,0.0,0.0,88.34152453694789,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,50.0,18.841429448463757,0.0
2773,478.0,0.0,0.0,0.0,0.0,0.0,198.97133496494803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,4.784826584463445,0.0
2774,454.1,0.0,0.0,0.0,0.0,0.0,179.77133496494807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
2775,478.0,50.0,0.0,115.60000000000001,2.25,17.0,198.97133496494803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,36.895997418463764,0.0
2776,465.5505800424634,0.0,0.0,0.0,0.0,0.0,179.77133496494807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
2777,454.0999999999998,0.0,0.0,0.0,0.0,0.0,168.4109179894118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
2778,477.99999999999983,33.45753256753635,0.0,115.60000000000001,2.25,17.0,187.61091798941175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,31.56578213846376,0.0
2779,478.0,0.0,0.0,231.20000000000002,3.718712035536157,34.0,206.8109179894117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,57.89381519846377,0.0
2780,454.1,0.0,0.0,115.60000000000001,1.4687120355361571,42.77715947341154,187.80000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.599459568463757,0.0
2781,478.0,50.0,0.0,231.20000000000002,3.718712035536157,59.77715947341153,207.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,25.0,77.59945956846376,0.0
2782,454.1,0.0,0.0,115.60000000000001,1.4687120355361571,42.77715947341154,187.80000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.599459568463757,0.0
2783,454.1,0.0,0.0,173.35978700341167,3.718712035536157,34.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,44.20312375846376,0.0
2784,478.0,50.0,0.0,288.9597870034117,5.968712035536157,51.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,25.0,116.20312375846375,0.0
2785,454.1,0.0,0.0,173.35978700341167,3.718712035536157,34.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,44.20312375846376,0.0
2786,430.20000000000005,0.0,0.0,108.9779026589477,2.25,17.0,168.60000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,4.236716658463759,0.0,0.0
2787,406.30000000000007,0.0,0.0,0.0,0.0,0.0,149.40000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
2788,430.20000000000005,0.0,0.0,51.966635678947696,2.25,17.0,168.60000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,9.71202825846376,0.0,0.0
2789,454.1,50.0,0.0,167.5666356789477,4.5,34.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,34.71202825846376,72.0,0.0
2790,478.0,100.0,0.0,283.1666356789477,6.75,51.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,59.71202825846376,144.0,0.0
2791,478.0,50.0,0.0,167.5666356789477,4.5,34.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,59.68271610846381,72.0,0.0
2792,478.0,0.0,0.0,243.0766633589477,6.75,51.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,84.68271610846381,58.297146149999946,0.0
2793,477.99999999999983,0.0,0.0,324.34508339894796,9.0,51.0,207.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,75.0,35.35249995846377,0.0
2794,478.0,18.911874159999865,0.0,346.41201524094777,9.0,34.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,50.0,39.193160528463764,0.0
